,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-08-16,0.952,0.954,0.974,0.932,229453,21881705.0,0.0,0.0,0.0,3.18
1,2021-08-17,0.952,0.914,0.96,0.911,172131,16012783.0,5.14,-4.19,-0.04,2.39
2,2021-08-18,0.914,0.919,0.928,0.91,133984,12301525.0,1.97,0.55,0.005,1.86
3,2021-08-19,0.917,0.935,0.945,0.911,137827,12799784.0,3.7,1.74,0.016,1.91
4,2021-08-20,0.935,0.95,0.959,0.93,133672,12651862.0,3.1,1.6,0.015,1.85
5,2021-08-23,0.947,0.971,0.974,0.937,160690,15404382.0,3.89,2.21,0.021,2.23
6,2021-08-24,0.973,0.987,0.999,0.961,185148,18205918.0,3.91,1.65,0.016,2.57
7,2021-08-25,0.987,0.982,1.001,0.969,146795,14436410.0,3.24,-0.51,-0.005,2.04
8,2021-08-26,0.987,0.966,0.994,0.964,133651,13112067.0,3.05,-1.63,-0.016,1.85
9,2021-08-27,0.966,0.972,0.979,0.961,115836,11256091.0,1.86,0.62,0.006,1.61
10,2021-08-30,0.973,0.979,0.998,0.961,183691,18014086.0,3.81,0.72,0.007,2.55
11,2021-08-31,0.964,0.939,0.965,0.926,299392,28112314.0,3.98,-4.09,-0.04,4.15
12,2021-09-01,0.938,0.931,0.94,0.905,210777,19362273.0,3.73,-0.85,-0.008,2.92
13,2021-09-02,0.917,0.902,0.928,0.898,283694,25713635.0,3.22,-3.11,-0.029,3.93
14,2021-09-03,0.9,0.899,0.916,0.882,233971,21069701.0,3.77,-0.33,-0.003,3.25
15,2021-09-06,0.897,0.911,0.912,0.883,161035,14499178.0,3.23,1.33,0.012,2.23
16,2021-09-07,0.909,0.913,0.92,0.905,112363,10241072.0,1.65,0.22,0.002,1.56
17,2021-09-08,0.912,0.902,0.917,0.898,169725,15338778.0,2.08,-1.2,-0.011,2.35
18,2021-09-09,0.902,0.895,0.903,0.885,116106,10350426.0,2.0,-0.78,-0.007,1.61
19,2021-09-10,0.9,0.935,0.941,0.889,381229,35088690.0,5.81,4.47,0.04,5.29
20,2021-09-13,0.936,0.9,0.936,0.896,515588,46632652.0,4.28,-3.74,-0.035,7.15
21,2021-09-14,0.9,0.901,0.918,0.895,180303,16338528.0,2.56,0.11,0.001,2.5
22,2021-09-15,0.901,0.902,0.909,0.885,182356,16326709.0,2.66,0.11,0.001,2.53
23,2021-09-16,0.896,0.868,0.898,0.867,418528,36789962.0,3.44,-3.77,-0.034,5.81
24,2021-09-17,0.873,0.872,0.88,0.856,229061,19821094.0,2.76,0.46,0.004,3.18
25,2021-09-22,0.865,0.878,0.888,0.86,219345,19265507.0,3.21,0.69,0.006,3.04
26,2021-09-23,0.878,0.897,0.909,0.869,314915,28061948.0,4.56,2.16,0.019,4.37
27,2021-09-24,0.893,0.892,0.902,0.888,142939,12795047.0,1.56,-0.56,-0.005,1.98
28,2021-09-27,0.898,0.888,0.909,0.878,149610,13419475.0,3.48,-0.45,-0.004,2.08
29,2021-09-28,0.889,0.89,0.91,0.873,155535,13878490.0,4.17,0.23,0.002,2.16
30,2021-09-29,0.88,0.87,0.884,0.869,176983,15478016.0,1.69,-2.25,-0.02,2.45
31,2021-09-30,0.873,0.879,0.884,0.868,128377,11276293.0,1.84,1.03,0.009,1.78
32,2021-10-08,0.888,0.877,0.897,0.872,125154,11042173.0,2.84,-0.23,-0.002,1.74
33,2021-10-11,0.879,0.861,0.88,0.86,234906,20376562.0,2.28,-1.82,-0.016,3.26
34,2021-10-12,0.86,0.833,0.863,0.827,266263,22440669.0,4.18,-3.25,-0.028,3.69
35,2021-10-13,0.832,0.851,0.855,0.83,170269,14329908.0,3.0,2.16,0.018,2.36
36,2021-10-14,0.851,0.857,0.862,0.85,114683,9828084.0,1.41,0.71,0.006,1.59
37,2021-10-15,0.857,0.886,0.891,0.854,370742,32579865.0,4.32,3.38,0.029,5.14
38,2021-10-18,0.891,0.877,0.891,0.866,135559,11843839.0,2.82,-1.02,-0.009,1.88
39,2021-10-19,0.877,0.878,0.884,0.873,94042,8254614.0,1.25,0.11,0.001,1.3
40,2021-10-20,0.878,0.88,0.885,0.876,109441,9632335.0,1.03,0.23,0.002,1.52
41,2021-10-21,0.88,0.864,0.88,0.86,123687,10734225.0,2.27,-1.82,-0.016,1.72
42,2021-10-22,0.87,0.885,0.895,0.866,279641,24750833.0,3.36,2.43,0.021,3.88
43,2021-10-25,0.885,0.895,0.895,0.88,140309,12463525.0,1.69,1.13,0.01,1.95
44,2021-10-26,0.895,0.895,0.903,0.885,162012,14506687.0,2.01,0.0,0.0,2.25
45,2021-10-27,0.891,0.886,0.895,0.882,95916,8508176.0,1.45,-1.01,-0.009,1.33
46,2021-10-28,0.886,0.886,0.898,0.881,95950,8561810.0,1.92,0.0,0.0,1.33
47,2021-10-29,0.886,0.906,0.909,0.883,191937,17294982.0,2.93,2.26,0.02,2.66
48,2021-11-01,0.909,0.909,0.919,0.898,162223,14781722.0,2.32,0.33,0.003,2.25
49,2021-11-02,0.909,0.93,0.94,0.909,323429,30102097.0,3.41,2.31,0.021,4.49
50,2021-11-03,0.938,0.924,0.945,0.916,133605,12434142.0,3.12,-0.65,-0.006,1.85
51,2021-11-04,0.928,0.935,0.945,0.928,127182,11924017.0,1.84,1.19,0.011,1.76
52,2021-11-05,0.943,0.938,0.957,0.937,120139,11367780.0,2.14,0.32,0.003,1.67
53,2021-11-08,0.937,0.924,0.937,0.907,138427,12698687.0,3.2,-1.49,-0.014,1.92
54,2021-11-09,0.925,0.945,0.95,0.916,171755,16061862.0,3.68,2.27,0.021,2.38
55,2021-11-10,0.943,0.949,0.952,0.933,182257,17231650.0,2.01,0.42,0.004,2.53
56,2021-11-11,0.946,0.977,0.99,0.943,501348,48565685.0,4.95,2.95,0.028,6.95
57,2021-11-12,0.973,0.972,0.976,0.965,132030,12818729.0,1.13,-0.51,-0.005,1.83
58,2021-11-15,0.971,0.954,0.978,0.953,113345,10931246.0,2.57,-1.85,-0.018,1.57
59,2021-11-16,0.954,0.941,0.961,0.936,141343,13405651.0,2.62,-1.36,-0.013,1.96
60,2021-11-17,0.941,0.947,0.948,0.928,103433,9695995.0,2.13,0.64,0.006,1.43
61,2021-11-18,0.947,0.936,0.947,0.931,110117,10314463.0,1.69,-1.16,-0.011,1.53
62,2021-11-19,0.936,0.938,0.944,0.93,86039,8050645.0,1.5,0.21,0.002,1.19
63,2021-11-22,0.938,0.981,0.984,0.937,424101,41168531.0,5.01,4.58,0.043,5.88
64,2021-11-23,0.975,0.972,0.985,0.97,132122,12913435.0,1.53,-0.92,-0.009,1.83
65,2021-11-24,0.972,0.968,0.983,0.967,108219,10533650.0,1.65,-0.41,-0.004,1.5
66,2021-11-25,0.974,0.973,0.986,0.961,92390,9026960.0,2.58,0.52,0.005,1.28
67,2021-11-26,0.972,0.95,0.972,0.946,182775,17451571.0,2.67,-2.36,-0.023,2.54
68,2021-11-29,0.943,0.952,0.955,0.934,70328,6677567.0,2.21,0.21,0.002,0.98
69,2021-11-30,0.954,0.96,0.969,0.953,110678,10651741.0,1.68,0.84,0.008,1.54
70,2021-12-01,0.965,0.959,0.976,0.953,98684,9498878.0,2.4,-0.1,-0.001,1.37
71,2021-12-02,0.959,0.957,0.968,0.955,66423,6377133.0,1.36,-0.21,-0.002,0.92
72,2021-12-03,0.957,0.976,0.989,0.957,241781,23647931.0,3.34,1.99,0.019,3.35
73,2021-12-06,0.978,0.96,0.982,0.958,101623,9825561.0,2.46,-1.64,-0.016,1.41
74,2021-12-07,0.971,0.942,0.971,0.933,145980,13756230.0,3.96,-1.88,-0.018,2.02
75,2021-12-08,0.947,0.96,0.961,0.943,119392,11412767.0,1.91,1.91,0.018,1.66
76,2021-12-09,0.962,0.964,0.968,0.958,84164,8110613.0,1.04,0.42,0.004,1.17
77,2021-12-10,0.964,0.962,0.964,0.952,64346,6161579.0,1.24,-0.21,-0.002,0.89
78,2021-12-13,0.959,0.966,0.968,0.954,78054,7518305.0,1.46,0.42,0.004,1.08
79,2021-12-14,0.964,0.962,0.965,0.956,42012,4037884.0,0.93,-0.41,-0.004,0.58
80,2021-12-15,0.962,0.952,0.965,0.95,71697,6855218.0,1.56,-1.04,-0.01,0.99
81,2021-12-16,0.952,0.951,0.959,0.949,75289,7169801.0,1.05,-0.11,-0.001,1.04
82,2021-12-17,0.955,0.93,0.955,0.923,155219,14457818.0,3.36,-2.21,-0.021,2.15
83,2021-12-20,0.931,0.91,0.931,0.909,99986,9155317.0,2.37,-2.15,-0.02,1.39
84,2021-12-21,0.914,0.915,0.918,0.901,71967,6538780.0,1.87,0.55,0.005,1.0
85,2021-12-22,0.918,0.923,0.935,0.918,72046,6681414.0,1.86,0.87,0.008,1.0
86,2021-12-23,0.923,0.923,0.928,0.919,46443,4285523.0,0.98,0.0,0.0,0.64
87,2021-12-24,0.925,0.92,0.931,0.915,61849,5700653.0,1.73,-0.33,-0.003,0.86
88,2021-12-27,0.92,0.918,0.927,0.914,57495,5292776.0,1.41,-0.22,-0.002,0.8
89,2021-12-28,0.925,0.92,0.925,0.911,62578,5733527.0,1.53,0.22,0.002,0.87
90,2021-12-29,0.921,0.907,0.922,0.904,67828,6167458.0,1.96,-1.41,-0.013,0.94
91,2021-12-30,0.91,0.93,0.933,0.908,125173,11601581.0,2.76,2.54,0.023,1.74
92,2021-12-31,0.93,0.929,0.93,0.921,54865,5083214.0,0.97,-0.11,-0.001,0.76
93,2022-01-04,0.929,0.913,0.932,0.904,105173,9600450.0,3.01,-1.72,-0.016,1.46
94,2022-01-05,0.912,0.885,0.912,0.872,212710,18837807.0,4.38,-3.07,-0.028,2.95
95,2022-01-06,0.876,0.873,0.879,0.862,115228,10047417.0,1.92,-1.36,-0.012,1.6
96,2022-01-07,0.873,0.863,0.883,0.861,78144,6802892.0,2.52,-1.15,-0.01,1.08
97,2022-01-10,0.862,0.862,0.862,0.843,77150,6596127.0,2.2,-0.12,-0.001,1.07
98,2022-01-11,0.864,0.841,0.864,0.836,181492,15315819.0,3.25,-2.44,-0.021,2.52
99,2022-01-12,0.841,0.852,0.853,0.839,108596,9188583.0,1.66,1.31,0.011,1.51
100,2022-01-13,0.852,0.841,0.854,0.84,67531,5694137.0,1.64,-1.29,-0.011,0.94
101,2022-01-14,0.837,0.85,0.859,0.834,95326,8117030.0,2.97,1.07,0.009,1.32
102,2022-01-17,0.85,0.866,0.87,0.848,118464,10243252.0,2.59,1.88,0.016,1.64
103,2022-01-18,0.865,0.875,0.888,0.863,118138,10369529.0,2.89,1.04,0.009,1.64
104,2022-01-19,0.877,0.863,0.877,0.858,54050,4667977.0,2.17,-1.37,-0.012,0.75
105,2022-01-20,0.863,0.855,0.87,0.854,52662,4520155.0,1.85,-0.93,-0.008,0.73
106,2022-01-21,0.855,0.841,0.855,0.838,69545,5865639.0,1.99,-1.64,-0.014,0.96
107,2022-01-24,0.841,0.851,0.852,0.838,39639,3352043.0,1.66,1.19,0.01,0.55
108,2022-01-25,0.844,0.836,0.854,0.834,66662,5612732.0,2.35,-1.76,-0.015,0.92
109,2022-01-26,0.84,0.842,0.845,0.828,59821,5015472.0,2.03,0.72,0.006,0.83
110,2022-01-27,0.841,0.826,0.841,0.813,88868,7312017.0,3.33,-1.9,-0.016,1.23
111,2022-01-28,0.826,0.8,0.826,0.798,108940,8789278.0,3.39,-3.15,-0.026,1.51
112,2022-02-07,0.817,0.804,0.822,0.8,48636,3934515.0,2.75,0.5,0.004,0.67
113,2022-02-08,0.806,0.783,0.806,0.769,116680,9128498.0,4.6,-2.61,-0.021,1.62
114,2022-02-09,0.782,0.789,0.789,0.77,89882,7017391.0,2.43,0.77,0.006,1.25
115,2022-02-10,0.79,0.789,0.795,0.784,69621,5493066.0,1.39,0.0,0.0,0.97
116,2022-02-11,0.782,0.775,0.791,0.773,60140,4692117.0,2.28,-1.77,-0.014,0.83
117,2022-02-14,0.769,0.767,0.78,0.76,53061,4072074.0,2.58,-1.03,-0.008,0.74
118,2022-02-15,0.776,0.795,0.796,0.771,120740,9503250.0,3.26,3.65,0.028,1.67
119,2022-02-16,0.797,0.791,0.801,0.788,43951,3491265.0,1.64,-0.5,-0.004,0.61
120,2022-02-17,0.791,0.798,0.807,0.787,78466,6259246.0,2.53,0.88,0.007,1.09
121,2022-02-18,0.797,0.792,0.797,0.788,48036,3801042.0,1.13,-0.75,-0.006,0.67
122,2022-02-21,0.792,0.79,0.797,0.787,50690,4004409.0,1.26,-0.25,-0.002,0.7
123,2022-02-22,0.786,0.791,0.795,0.773,60350,4744251.0,2.78,0.13,0.001,0.84
124,2022-02-23,0.793,0.836,0.838,0.793,216388,17821197.0,5.69,5.69,0.045,3.0
125,2022-02-24,0.838,0.828,0.842,0.816,105248,8723226.0,3.11,-0.96,-0.008,1.46
126,2022-02-25,0.846,0.835,0.849,0.832,106571,8953346.0,2.05,0.85,0.007,1.48
127,2022-02-28,0.842,0.839,0.845,0.831,42460,3560817.0,1.68,0.48,0.004,0.59
128,2022-03-01,0.844,0.839,0.844,0.835,64871,5440464.0,1.07,0.0,0.0,0.9
129,2022-03-02,0.836,0.828,0.836,0.821,58178,4807148.0,1.79,-1.31,-0.011,0.81
130,2022-03-03,0.837,0.815,0.837,0.812,73029,5996306.0,3.02,-1.57,-0.013,1.01
131,2022-03-04,0.814,0.819,0.834,0.805,62276,5121982.0,3.56,0.49,0.004,0.86
132,2022-03-07,0.814,0.799,0.814,0.786,100169,7988190.0,3.42,-2.44,-0.02,1.39
133,2022-03-08,0.797,0.79,0.807,0.775,108735,8631447.0,4.01,-1.13,-0.009,1.51
134,2022-03-09,0.795,0.795,0.81,0.767,113610,9013208.0,5.44,0.63,0.005,1.58
135,2022-03-10,0.825,0.806,0.825,0.801,94336,7635320.0,3.02,1.38,0.011,1.31
136,2022-03-11,0.8,0.801,0.803,0.781,76284,6030201.0,2.73,-0.62,-0.005,1.06
137,2022-03-14,0.8,0.778,0.8,0.778,73095,5745464.0,2.75,-2.87,-0.023,1.01
138,2022-03-15,0.758,0.756,0.785,0.754,84364,6456273.0,3.98,-2.83,-0.022,1.17
139,2022-03-16,0.758,0.782,0.783,0.74,111042,8446546.0,5.69,3.44,0.026,1.54
140,2022-03-17,0.799,0.797,0.812,0.795,170948,13731137.0,2.17,1.92,0.015,2.37
141,2022-03-18,0.795,0.794,0.797,0.785,56878,4492824.0,1.51,-0.38,-0.003,0.79
142,2022-03-21,0.794,0.797,0.803,0.788,44255,3520973.0,1.89,0.38,0.003,0.61
143,2022-03-22,0.791,0.786,0.799,0.784,49188,3886812.0,1.88,-1.38,-0.011,0.68
144,2022-03-23,0.787,0.786,0.791,0.778,30814,2414499.0,1.65,0.0,0.0,0.43
145,2022-03-24,0.78,0.771,0.789,0.765,55073,4246220.0,3.05,-1.91,-0.015,0.76
146,2022-03-25,0.77,0.76,0.781,0.759,61859,4744051.0,2.85,-1.43,-0.011,0.86
147,2022-03-28,0.76,0.75,0.76,0.747,60550,4544188.0,1.71,-1.32,-0.01,0.84
148,2022-03-29,0.75,0.737,0.755,0.733,85016,6295734.0,2.93,-1.73,-0.013,1.18
149,2022-03-30,0.743,0.749,0.749,0.738,63849,4740044.0,1.49,1.63,0.012,0.89
150,2022-03-31,0.744,0.729,0.745,0.726,124817,9151464.0,2.54,-2.67,-0.02,1.73
151,2022-04-01,0.72,0.728,0.736,0.72,49797,3623019.0,2.19,-0.14,-0.001,0.69
152,2022-04-06,0.724,0.704,0.726,0.701,169418,12000777.0,3.43,-3.3,-0.024,2.35
153,2022-04-07,0.7,0.694,0.708,0.692,74884,5226495.0,2.27,-1.42,-0.01,1.04
154,2022-04-08,0.696,0.695,0.701,0.682,82599,5713547.0,2.74,0.14,0.001,1.15
155,2022-04-11,0.69,0.662,0.69,0.655,148987,9973548.0,5.04,-4.75,-0.033,2.07
156,2022-04-12,0.661,0.667,0.668,0.648,104076,6842874.0,3.02,0.76,0.005,1.44
157,2022-04-13,0.66,0.651,0.661,0.65,67885,4439321.0,1.65,-2.4,-0.016,0.94
158,2022-04-14,0.654,0.662,0.668,0.643,127932,8367809.0,3.84,1.69,0.011,1.77
